promoter_set,k,n,train_perplexity,dev_perplexity
Ecoli_Operon,5,3,10387468.245664483,991232853.6933237
Ecoli_Operon,6,1,3527.5415390092744,3553.847291311525
Ecoli_Operon,6,2,152741.44929833763,10712781.830269843
Ecoli_Operon,6,3,668371851.530327,64889764164.22205
Ecoli_RegDB,1,1,3.8957804914758865,3.9086396421954586
Ecoli_RegDB,1,2,3.8516736322242338,3.8675941096299216
Ecoli_RegDB,1,3,3.8211130381460237,3.8399632113234037
Ecoli_RegDB,1,4,3.7964273435532574,3.822265069656763
Ecoli_RegDB,1,5,3.8234588632290802,3.861784062640473
Ecoli_RegDB,1,6,4.554538731127471,4.684527206422912
Ecoli_RegDB,1,7,14.526976132203615,16.81161945423427
Ecoli_RegDB,1,8,128.11153785500787,249.22445125495588
Ecoli_RegDB,2,1,15.005274995951268,15.117031656821219
Ecoli_RegDB,2,2,14.486567388353215,14.662250046769516
Ecoli_RegDB,2,3,14.803195826154155,15.303744290809066
Ecoli_RegDB,3,1,57.292328715246306,58.004678498281706
Ecoli_RegDB,3,2,53.76656281039049,55.9288905463359
Ecoli_RegDB,3,3,1062.0758708701223,5434.146587273775
Ecoli_RegDB,4,1,217.07835217616568,221.2912299847992
Ecoli_RegDB,4,2,283.0766857910434,545.6375613915696
Ecoli_RegDB,4,3,111016.3934826697,1935744.3104707655
Ecoli_RegDB,5,1,816.9424202539776,841.5313394462161
Ecoli_RegDB,5,2,5967.086297820364,64193.01439126306
Ecoli_RegDB,5,3,7396119.167299742,148791877.1551216
Ecoli_RegDB,6,1,3025.1310112859233,3189.067731968124
Ecoli_RegDB,6,2,111057.96640617648,1936451.5338586776
Ecoli_RegDB,6,3,485671640.4604498,10824770070.544958
