promoter_set,k,n,train_perplexity,dev_perplexity
Ecoli_Random,1,1,3.999509652197235,3.999317868958934
Ecoli_Random,1,3,3.9988583992335167,3.9989616153812793
Ecoli_Random,1,6,3.9920618611726337,4.004561707619199
Ecoli_Random,2,1,15.995028406575758,15.993241096656298
Ecoli_Random,2,2,15.988697591586808,15.992079090615867
Ecoli_Random,2,3,15.955606306641089,16.017779224063933
Ecoli_Random,3,1,63.96182394158426,63.9567179040721
Ecoli_Random,3,2,63.79547004466677,64.0566691292947
Ecoli_Random,3,3,55.028846907359686,inf
Ecoli_Random,4,1,255.73944004894923,255.76752918866825
Ecoli_Random,4,2,246.62196444615574,265.51165102754885
Ecoli_Random,4,3,14.115317693874307,inf
Ecoli_Random,5,1,1022.145880981136,1023.0445221522675
Ecoli_Random,5,2,539.8541058211301,inf
Ecoli_Random,5,3,1.673713714015388,inf
Ecoli_Random,6,1,4080.4705995750505,4096.925784001843
Ecoli_Random,6,2,218.08010415772006,inf
Ecoli_Random,6,3,1.0383559100090014,inf
Ecoli_Naive,1,1,3.9924698043273685,3.99303198292678
Ecoli_Naive,1,3,3.9113240688621675,3.9110108695298367
Ecoli_Naive,1,6,3.846345692122264,3.8564461352712263
Ecoli_Naive,2,1,15.75873623779092,15.750137985885063
Ecoli_Naive,2,2,15.178623323587159,15.173241308832203
Ecoli_Naive,2,3,14.865786343266663,14.909950669903374
Ecoli_Naive,3,1,61.63588039328622,61.59940896527063
Ecoli_Naive,3,2,57.68765645103727,57.84350790520109
Ecoli_Naive,3,3,48.655293188325196,inf
Ecoli_Naive,4,1,239.17934083251146,238.9711469972175
Ecoli_Naive,4,2,211.74702086104801,inf
Ecoli_Naive,4,3,17.521944144502122,inf
Ecoli_Naive,5,1,924.3617076604245,923.8250024616988
Ecoli_Naive,5,2,480.29460343226776,inf
Ecoli_Naive,5,3,2.174215459180728,inf
Ecoli_Naive,6,1,3555.23856094017,3562.450383840666
Ecoli_Naive,6,2,249.49123439817978,inf
Ecoli_Naive,6,3,1.094752179807732,inf
Ecoli_Operon,1,1,3.976456345007438,3.9774622853391968
Ecoli_Operon,1,3,3.9066320833862287,3.910014646051133
Ecoli_Operon,1,6,3.848034581386735,3.8695201494440425
Ecoli_Operon,2,1,15.646430050031672,15.663481157944485
Ecoli_Operon,2,2,15.154638232680377,15.184433760533912
Ecoli_Operon,2,3,14.87692600089889,14.990475715776334
Ecoli_Operon,3,1,61.12176352522442,61.2436710968584
Ecoli_Operon,3,2,57.708055908285885,58.21320854547051
Ecoli_Operon,3,3,45.30798907715038,inf
Ecoli_Operon,4,1,237.08321868523169,237.8270637935647
Ecoli_Operon,4,2,208.95402269683265,inf
Ecoli_Operon,4,3,12.13361501512313,inf
Ecoli_Operon,5,1,916.4964768597924,921.213351345879
Ecoli_Operon,5,2,391.64842078789917,inf
Ecoli_Operon,5,3,1.7777292386440604,inf
Ecoli_Operon,6,1,3526.25200786805,3564.085112949433
Ecoli_Operon,6,2,170.30515141176275,inf
Ecoli_Operon,6,3,1.0669764098343488,inf
Ecoli_RegDB,1,1,3.897684268288053,3.895702883453451
Ecoli_RegDB,1,3,3.8240386209837602,3.8230920573503178
Ecoli_RegDB,1,6,3.7159736911427044,3.773446153823679
Ecoli_RegDB,2,1,15.023369958446162,15.011260328594146
Ecoli_RegDB,2,2,14.511481027675245,14.51825201501307
Ecoli_RegDB,2,3,14.01412993323177,14.263482659090277
Ecoli_RegDB,3,1,57.41097712609748,57.35522284398751
Ecoli_RegDB,3,2,53.164243683467795,54.13462920879563
Ecoli_RegDB,3,3,21.799385516783953,inf
Ecoli_RegDB,4,1,217.7309448481402,217.69728162277556
Ecoli_RegDB,4,2,148.7784878532448,inf
Ecoli_RegDB,4,3,3.2978127902307266,inf
Ecoli_RegDB,5,1,820.3425860752681,822.1974970859719
Ecoli_RegDB,5,2,111.76356632218457,inf
Ecoli_RegDB,5,3,1.1780418564657817,inf
Ecoli_RegDB,6,1,3041.8584936917828,3093.901052131344
Ecoli_RegDB,6,2,34.27446024514583,inf
Ecoli_RegDB,6,3,1.015318374782602,inf
